,0
0,594891541
1,594106794
2,605240004
3,574135264
4,612646956
5,612644688
6,612598920
7,612591311
8,612514027
9,610426537
10,593329740
11,612371800
12,556576671
13,609838135
14,612259300
15,612238239
16,612112452
17,612070606
18,611965380
19,593785824
20,611929915
21,611831457
22,611710883
23,611703263
24,611637933
25,607571348
26,611551426
27,611332868
28,607558610
29,596092569
30,611249255
31,597408935
32,600172219
33,611117855
34,588812278
35,479015827
36,608551672
37,610504327
38,610488109
39,608614511
40,602075251
41,593279547
42,610244843
43,610119440
44,610060779
45,594487615
46,604590792
47,609615402
48,594891541
49,594106794
50,605240004
51,574135264
52,612646956
53,612644688
54,612598920
55,612591311
56,612514027
57,610426537
58,593329740
59,612371800
60,556576671
61,609838135
62,612259300
63,612238239
64,612112452
65,612070606
66,611965380
67,593785824
68,611929915
69,611831457
70,611710883
71,611703263
72,611637933
73,607571348
74,611551426
75,611332868
76,607558610
77,596092569
78,611249255
79,597408935
80,600172219
81,611117855
82,588812278
83,479015827
84,608551672
85,610504327
86,610488109
87,608614511
88,602075251
89,593279547
90,610244843
91,610119440
92,610060779
93,594487615
94,604590792
95,609615402
96,609593125
97,609497006
98,609478630
99,493950973
100,588798833
101,609154250
102,609122174
103,609054994
104,609025478
105,608976624
106,608652701
107,608582215
108,579512381
109,608143484
110,608109317
111,608022139
112,607895053
113,607636939
114,592862238
115,607406442
116,607196351
117,569839901
118,607103836
119,607098997
120,607070476
121,607030379
122,606785470
123,606661156
124,606649444
125,600029089
126,606514536
127,606333245
128,605795246
129,605658883
130,605620312
131,605498531
132,605388542
133,605337786
134,605123112
135,604861150
136,604849723
137,604786543
138,604728646
139,604029695
140,604023699
141,603978981
142,603933454
143,603632555
144,603624032
145,603578841
146,603527062
147,603198477
148,582954936
149,602515886
150,602299467
151,601848784
152,601720767
153,600387331
154,600971416
155,600827763
156,600747805
157,600612832
158,600599638
159,600354469
160,599950560
161,599773561
162,575204959
163,598419232
164,598121692
165,597824325
166,597637814
167,597463931
168,597402835
169,597306483
170,597235474
171,597031190
172,596683766
173,588595822
174,596512111
175,596397973
176,595823463
177,595312939
178,595194267
179,595025026
180,595007779
181,594694097
182,594557110
183,594422764
184,594145332
185,593767659
186,585814608
187,593353770
188,592977564
189,592617223
190,592507045
191,592300675
192,591740344
193,591251217
194,591067459
195,609841913
196,608967000
197,612754654
198,612738804
199,612734083
200,612679363
201,612609657
202,572570903
203,595216165
204,612515340
205,601836599
206,612429281
207,612373206
208,596141620
209,612319599
210,596336880
211,612283765
212,612179719
213,612170070
214,612166214
215,612140591
216,607765972
217,612110777
218,594879454
219,587223946
220,598338806
221,600127125
222,611990970
223,601213620
224,611912150
225,611803093
226,611768146
227,611767739
228,611759455
229,557261595
230,611699310
231,598252110
232,611680080
233,607785220
234,608558905
235,577381075
236,598627615
237,611585046
238,609841913
239,608967000
240,612754654
241,612738804
242,612734083
243,612679363
244,612609657
245,572570903
246,595216165
247,612515340
248,601836599
249,612429281
250,612373206
251,596141620
252,612319599
253,596336880
254,612283765
255,612179719
256,612170070
257,612166214
258,612140591
259,607765972
260,612110777
261,594879454
262,587223946
263,598338806
264,600127125
265,611990970
266,601213620
267,611912150
268,611803093
269,611768146
270,611767739
271,611759455
272,557261595
273,611699310
274,598252110
275,611680080
276,607785220
277,608558905
278,577381075
279,598627615
280,611585046
281,611578284
282,581545793
283,604134222
284,601397687
285,611552730
286,611508527
287,611501561
288,583148923
289,563661653
290,611335241
291,563659407
292,605419132
293,611291230
294,605614990
295,611225504
296,598753412
297,611260443
298,601655586
299,602076341
300,593806280
301,611223778
302,611208768
303,611199527
304,611156664
305,543991163
306,611123516
307,611069808
308,611020634
309,610960618
310,603781163
311,607768609
312,610898801
313,562761232
314,581937354
315,605831957
316,610786941
317,601419855
318,610677045
319,610651316
320,607396534
321,610611641
322,610602387
323,607658394
324,610395091
325,610392718
326,610379207
327,610371842
328,598667148
329,610212084
330,610165750
331,610134492
332,610068977
333,610016457
334,609963850
335,609897065
336,587181640
337,606763341
338,609630891
339,563659820
340,607482139
341,609551713
342,570677520
343,594892009
344,578676565
345,609449425
346,607228189
347,609128263
348,536362096
349,609089059
350,539437999
351,608951710
352,603487359
353,608828206
354,608806208
355,608793156
356,608648941
357,608395305
358,608306958
359,570674513
360,608137023
361,608108905
362,608101602
363,608075759
364,601910456
365,607855494
366,607772025
367,607592273
368,607554285
369,607521438
370,607237035
371,607174898
372,607074672
373,607040452
374,605958242
375,606897377
376,606849737
377,606773500
378,606771857
379,606751224
380,561160638
381,606579540
382,606570770
383,606490980
384,606473601
385,606467218
386,606466756
387,606429972
388,606365515
389,606333259
390,606286755
