marca,modelo_code,modelo_nome,ano,preco
CHEVROLET,COBALT,COBALT LT 1.4 8V FlexPower/EconoFlex 4p,2019,59208
CHEVROLET,COBALT,COBALT LT 1.4 8V FlexPower/EconoFlex 4p,2019,51429
CHEVROLET,COBALT,COBALT LT 1.4 8V FlexPower/EconoFlex 4p,2018,47978
CHEVROLET,COBALT,COBALT LT 1.4 8V FlexPower/EconoFlex 4p,2017,46473
CHEVROLET,COBALT,COBALT LT 1.4 8V FlexPower/EconoFlex 4p,2016,44123
CHEVROLET,COBALT,COBALT LT 1.4 8V FlexPower/EconoFlex 4p,2015,35781
CHEVROLET,COBALT,COBALT LT 1.4 8V FlexPower/EconoFlex 4p,2014,33774
CHEVROLET,COBALT,COBALT LT 1.4 8V FlexPower/EconoFlex 4p,2013,32772
CHEVROLET,COBALT,COBALT LT 1.4 8V FlexPower/EconoFlex 4p,2012,30599
CHEVROLET,COBALT,COBALT LT 1.8 8V Econo.Flex 4p Aut.,2015,38628
CHEVROLET,COBALT,COBALT LT 1.8 8V Econo.Flex 4p Aut.,2014,36630
CHEVROLET,COBALT,COBALT LT 1.8 8V Econo.Flex 4p Aut.,2013,34204
CHEVROLET,COBALT,COBALT LT 1.8 8V Econo.Flex 4p Mec.,2015,37201
CHEVROLET,COBALT,COBALT LT 1.8 8V Econo.Flex 4p Mec.,2014,34742
CHEVROLET,COBALT,COBALT LT 1.8 8V Econo.Flex 4p Mec.,2013,33031
CHEVROLET,COBALT,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,2019,61715
CHEVROLET,COBALT,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,2018,54823
CHEVROLET,COBALT,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,2017,50734
CHEVROLET,COBALT,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,2016,48522
CHEVROLET,COBALT,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,2015,38517
CHEVROLET,COBALT,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,2014,36378
CHEVROLET,COBALT,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,2013,33307
CHEVROLET,COBALT,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,2012,31363
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Aut.,2019,67523
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Aut.,2019,61036
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Aut.,2018,56186
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Aut.,2017,54525
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Aut.,2016,52355
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Aut.,2015,42162
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Aut.,2014,37943
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Aut.,2013,35322
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2019,62473
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2019,57388
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2018,55459
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2017,53045
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2016,50931
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2015,39983
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2014,37449
CHEVROLET,COBALT,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,2013,35070
CHEVROLET,CRUZE,CRUZE LT 1.4 16V Turbo Flex 4p Aut.,2019,93120
CHEVROLET,CRUZE,CRUZE LT 1.4 16V Turbo Flex 4p Aut.,2019,86201
CHEVROLET,CRUZE,CRUZE LT 1.4 16V Turbo Flex 4p Aut.,2018,81893
CHEVROLET,CRUZE,CRUZE LT 1.4 16V Turbo Flex 4p Aut.,2017,78021
CHEVROLET,CRUZE,CRUZE LT 1.8 16V FlexPower 4p Aut.,2016,63086
CHEVROLET,CRUZE,CRUZE LT 1.8 16V FlexPower 4p Aut.,2015,56867
CHEVROLET,CRUZE,CRUZE LT 1.8 16V FlexPower 4p Aut.,2014,49214
CHEVROLET,CRUZE,CRUZE LT 1.8 16V FlexPower 4p Aut.,2013,46422
CHEVROLET,CRUZE,CRUZE LT 1.8 16V FlexPower 4p Aut.,2012,43398
CHEVROLET,CRUZE,CRUZE LT 1.8 16V FlexPower 4p Mec.,2015,54673
CHEVROLET,CRUZE,CRUZE LT 1.8 16V FlexPower 4p Mec.,2014,47167
CHEVROLET,CRUZE,CRUZE LT 1.8 16V FlexPower 4p Mec.,2013,44971
CHEVROLET,CRUZE,CRUZE LT 1.8 16V FlexPower 4p Mec.,2012,41511
CHEVROLET,CRUZE,CRUZE LTZ 1.4 16V Turbo Flex 4p Aut.,2019,106973
CHEVROLET,CRUZE,CRUZE LTZ 1.4 16V Turbo Flex 4p Aut.,2019,97863
CHEVROLET,CRUZE,CRUZE LTZ 1.4 16V Turbo Flex 4p Aut.,2018,93611
CHEVROLET,CRUZE,CRUZE LTZ 1.4 16V Turbo Flex 4p Aut.,2017,86574
CHEVROLET,CRUZE,CRUZE LTZ 1.8 16V FlexPower 4p Aut.,2016,66756
CHEVROLET,CRUZE,CRUZE LTZ 1.8 16V FlexPower 4p Aut.,2015,62225
CHEVROLET,CRUZE,CRUZE LTZ 1.8 16V FlexPower 4p Aut.,2014,54305
CHEVROLET,CRUZE,CRUZE LTZ 1.8 16V FlexPower 4p Aut.,2013,51240
CHEVROLET,CRUZE,CRUZE LTZ 1.8 16V FlexPower 4p Aut.,2012,46770
CHEVROLET,ONIX,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2019,41414
CHEVROLET,ONIX,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2019,37985
CHEVROLET,ONIX,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2018,35959
CHEVROLET,ONIX,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2017,34869
CHEVROLET,ONIX,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,2019,46405
CHEVROLET,ONIX,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,2019,43010
CHEVROLET,ONIX,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,2018,40221
CHEVROLET,ONIX,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,2017,39032
CHEVROLET,ONIX,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,2016,35833
CHEVROLET,ONIX,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,2015,34134
CHEVROLET,ONIX,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,2014,32824
CHEVROLET,ONIX,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,2013,31272
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2019,55945
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2019,51855
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2018,49349
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2017,47008
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2016,43516
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2015,40190
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,2014,37613
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2019,51502
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2019,46636
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2018,44917
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2017,42501
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2016,39495
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2015,36721
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2014,34979
CHEVROLET,ONIX,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2013,33442
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2019,61180
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2019,56836
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2018,53089
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2017,50140
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2016,46093
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2015,42904
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,2014,39473
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec.,2019,56775
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec.,2019,52010
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec.,2018,48996
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec.,2017,47238
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec.,2016,43691
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec.,2015,40454
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec.,2014,38022
CHEVROLET,ONIX,ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec.,2013,35456
CHEVROLET,PRISMA,PRISMA Sed. Joy 1.4 8V ECONOFLEX 4p,2010,18862
CHEVROLET,PRISMA,PRISMA Sed. Joy 1.4 8V ECONOFLEX 4p,2009,18244
CHEVROLET,PRISMA,PRISMA Sed. Joy 1.4 8V ECONOFLEX 4p,2008,17695
CHEVROLET,PRISMA,PRISMA Sed. Joy 1.4 8V ECONOFLEX 4p,2007,16793
