modelo_code,marca_id,modelo_id,modelo_nome,modelo_year
cobalt,23,5724,COBALT LT 1.4 8V FlexPower/EconoFlex 4p,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1', u'2013-1', u'2012-1']"
cobalt,23,6172,COBALT LT 1.8 8V Econo.Flex 4p Aut.,"[u'2015-1', u'2014-1', u'2013-1']"
cobalt,23,6173,COBALT LT 1.8 8V Econo.Flex 4p Mec.,"[u'2015-1', u'2014-1', u'2013-1']"
cobalt,23,5725,COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,"[u'32000-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1', u'2013-1', u'2012-1']"
cobalt,23,6174,COBALT LTZ 1.8 8V Econo.Flex 4p Aut.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1', u'2013-1']"
cobalt,23,6175,COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1', u'2013-1']"
cruze,23,7618,CRUZE LT 1.4 16V Turbo Flex 4p Aut.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1']"
cruze,23,5635,CRUZE LT 1.8 16V FlexPower 4p Aut.,"[u'2016-1', u'2015-1', u'2014-1', u'2013-1', u'2012-1']"
cruze,23,5636,CRUZE LT 1.8 16V FlexPower 4p Mec.,"[u'2015-1', u'2014-1', u'2013-1', u'2012-1']"
cruze,23,7619,CRUZE LTZ 1.4 16V Turbo Flex 4p Aut.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1']"
cruze,23,5637,CRUZE LTZ 1.8 16V FlexPower 4p Aut.,"[u'2016-1', u'2015-1', u'2014-1', u'2013-1', u'2012-1']"
onix,23,7691,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1']"
onix,23,6232,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1', u'2013-1']"
onix,23,6530,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1']"
onix,23,6233,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1', u'2013-1']"
onix,23,6531,ONIX HATCH LTZ 1.4 8V FlexPower 5p Aut.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1']"
onix,23,6234,ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1', u'2013-1']"
prisma,23,4189,PRISMA Sed. Joy 1.4 8V ECONOFLEX 4p,"[u'2010-1', u'2009-1', u'2008-1', u'2007-1']"
prisma,23,4849,PRISMA Sed. Joy/ LS 1.0 8V FlexPower 4p,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2012-1', u'2011-1', u'2010-1', u'2009-1']"
prisma,23,6349,PRISMA Sed. LT 1.0 8V FlexPower 4p,"[u'2017-1', u'2016-1', u'2015-1', u'2014-1', u'2013-1']"
prisma,23,6350,PRISMA Sed. LT 1.4 8V FlexPower 4p,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1', u'2013-1']"
prisma,23,6532,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1']"
prisma,23,6351,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1', u'2013-1']"
prisma,23,6533,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1', u'2016-1', u'2015-1', u'2014-1']"
s10,23,7791,S10 Pick-Up Advantage 2.5 Flex 4x2 CD,"[u'32000-1', u'2019-1', u'2018-1', u'2017-1']"
s10,23,5885,S10 Pick-Up LS 2.4 F.Power 4x2 CD,"[u'2016-1', u'2015-1', u'2014-1', u'2013-1', u'2012-1']"
s10,23,5886,S10 Pick-Up LS 2.4 F.Power 4x2 CS,"[u'2016-1', u'2015-1', u'2014-1', u'2013-1', u'2012-1']"
s10,23,6099,S10 Pick-Up LS 2.8 TDI 4x2 CD Dies. Mec.,[u'2013-3']
s10,23,6100,S10 Pick-Up LS 2.8 TDI 4x2 CS Dies. Mec.,[u'2013-3']
s10,23,6101,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,"[u'32000-3', u'2019-3', u'2018-3', u'2017-3', u'2016-3', u'2015-3', u'2014-3', u'2013-3']"
s10,23,5887,S10 Pick-Up LS 2.8 TDI 4x4 CS Diesel,"[u'32000-3', u'2019-3', u'2018-3', u'2017-3', u'2016-3', u'2015-3', u'2014-3', u'2013-3', u'2012-3']"
s10,23,5888,S10 Pick-Up LT 2.4 F.Power 4x2 CD,"[u'2014-1', u'2013-1', u'2012-1']"
s10,23,5889,S10 Pick-Up LT 2.4 F.Power 4x2 CS,"[u'2013-1', u'2012-1']"
s10,23,7032,S10 Pick-Up LT 2.5 Flex 4x2 CD,"[u'2017-1', u'2016-1', u'2015-1']"
s10,23,7953,S10 Pick-Up LT 2.5 Flex 4x2 CD Aut.,"[u'32000-1', u'2019-1', u'2018-1']"
s10,23,7033,S10 Pick-Up LT 2.5 Flex 4x4 CD,"[u'2017-1', u'2016-1', u'2015-1']"
s10,23,7954,S10 Pick-Up LT 2.5 Flex 4x4 CD Aut.,"[u'32000-1', u'2019-1', u'2018-1']"
s10,23,5890,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel,"[u'2017-3', u'2016-3', u'2015-3', u'2014-3', u'2013-3', u'2012-3']"
s10,23,5891,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel Aut,"[u'2017-3', u'2016-3', u'2015-3', u'2014-3', u'2013-3', u'2012-3']"
s10,23,5892,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel,"[u'32000-3', u'2019-3', u'2018-3', u'2017-3', u'2016-3', u'2015-3', u'2014-3', u'2013-3', u'2012-3']"
s10,23,5893,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut,"[u'32000-3', u'2019-3', u'2018-3', u'2017-3', u'2016-3', u'2015-3', u'2014-3', u'2013-3']"
s10,23,5894,S10 Pick-Up LTZ 2.4 F.Power 4x2 CD,"[u'2015-1', u'2014-1', u'2013-1', u'2012-1']"
s10,23,7034,S10 Pick-Up LTZ 2.5 Flex 4x2 CD,"[u'2017-1', u'2016-1', u'2015-1']"
s10,23,7955,S10 Pick-Up LTZ 2.5 Flex 4x2 CD Aut.,"[u'32000-1', u'2019-1', u'2018-1']"
s10,23,7035,S10 Pick-Up LTZ 2.5 Flex 4x4 CD,"[u'2017-1', u'2016-1', u'2015-1']"
s10,23,7956,S10 Pick-Up LTZ 2.5 Flex 4x4 CD Aut.,"[u'32000-1', u'2019-1', u'2018-1']"
s10,23,6102,S10 Pick-Up LTZ 2.8 TDI 4x2 CD Dies. Mec,"[u'2014-3', u'2013-3']"
